FID,name_landmark,ชื่อสถานที่สำคัญ,ที่อยู่
45,PHUKET PLANT QUARANTINE,สถานกักพืชภูเก็ต,ทางหลวงแผ่นดินหมายเลข 4026
46,WILDLIFE CHECK POINT PORT OF PHUKET,ด่านตรวจสัตว์ป่าท่าเรือน้ำลึก,ถนนรพช. ภก. 3078 (บ้านไนยาง)
47,SIRINATH NATION PARK,อุทยานแห่งชาติสิรินาถ,ถนนรพช. ภก. 3078 (บ้านไนยาง)
48,LAEM KHAT,แหลมขาด,ถนนรพช. ภก. 4036 (บ้านหลังแดง-บ้านอ่าวปอ)
49,WAT MONG KHON WARARAM SCHOOL,โรงเรียนวัดมงคลวราราม,ถนนรพช. ภก. 3078 (บ้านไนยาง)
50,NAI YANG BEACH,หาดในยาง,ถนนรพช. ภก. 3078 (บ้านไนยาง)
51,WAT MONGKHON WARARAM,วัดมงคลวราราม,ทางหลวงแผ่นดินหมายเลข 4031
52,WAT MONG KHON WARARAM SCHOOL,โรงเรียนวัดมงคลวราราม,ทางหลวงแผ่นดินหมายเลข 4031
53,THE SECOND OF PHUKET TECHINICAL COLLEGE,วิทยาลัยเทคนิดภูเก็ตแห่งที่ 2,ทางหลวงแผ่นดินหมายเลข 4026
54,WAT MUEANG MAI,วัดเมืองใหม่,ทางหลวงแผ่นดินหมายเลข 402
55,WATMUEANGMAI SCHOOL,โรงเรียนวัดเมืองใหม่,ทางหลวงแผ่นดินหมายเลข 402
56,MUSYIDDARULHIKMAH,มัสยิดดารุลฮิกมะฮุ์,ทางหลวงแผ่นดินหมายเลข 4027
57,SUSCO SERVICE STATION,สถานีบริการน้ำมันซัสโก้,ทางหลวงแผ่นดินหมายเลข 402
58,PHUKET FOREST NURSERY STATION,สถานีเพาะพันธุ์กล้าไม้จังหวัดภูเก็ต,ทางหลวงแผ่นดินหมายเลข 402
59,BAN SAKOO SCHOOL,โรงเรียนบ้านสาคู,ถนนรพช. ภก. 3024 (บ้านลายัน-บ้านสาคู)
60,MUSJID BAN PHARA,มัสยิดบ้านพารา,ทางหลวงแผ่นดินหมายเลข 4027
61,PHUKET FORESTRY PROTECTION UNIT 1,หน่วยป้องกันรักษาป่าที่ภูเก็ต 1,ทางหลวงแผ่นดินหมายเลข 402
62,BAN PARA SCHOOL,โรงเรียนบ้านพารา,ทางหลวงแผ่นดินหมายเลข 4027
63,LAEM YANG,แหลมยาง,ถนนรพช. ภก. 4066 (บ้านอ่าวปอ-บ้านแหลมหลง)
64,BAN AO PO SCHOOL,โรงเรียนบ้านอ่าวปอ,ถนนโยธาธิการ ภก. 2020 (บ้านบางโรง-บ้านอ่าวปอ)
65,MUEANG THALANG SCHOOL,โรงเรียนเมืองถลาง,ถนนโยธาธิการ ภก. 2013 (บ้านปากพลี-บ้านพรุสมภาร)
66,BAN PAKHRONGCHEEP SCHOOL,โรงเรียนบ้านป่าครองชีพ,ถนนรพช. ภก. 3043 (ป่าครองชีพอนุสรณ์)
67,PHUKET RUBBER EXPERMENT STATION,สถานีทดลองยางภูเก็ต,ทางหลวงแผ่นดินหมายเลข 402
68,MUSJID RAODA  ATUN MUTTA KIN,มัสยิดเราว์ฎอตุลมุตตากีน,ถนนโยธาธิการ ภก. 2020 (บ้านบางโรง-บ้านอ่าวปอ)
69,KO RAT,เกาะแรด, 
70,BAN BANGRONG SCHOOL,โรงเรียนบ้านบางโรง,ถนนโยธาธิการ ภก. 2020 (บ้านบางโรง-บ้านอ่าวปอ)
71,MUSJID NURUN YANNA,มัสยิดนูรุนญันนะย์,ทางหลวงแผ่นดินหมายเลข 4027
72,KO NA KHA YAI,เกาะนาคาใหญ่, 
73,PT SERVICE STATION,สถานีบริการน้ำมันพีที,ทางหลวงแผ่นดินหมายเลข 4027
74,KHAO PHRA THAEW NON-HUNTING AREA OFFICE,สำนักงานเขตห้ามล่าสัตว์ป่าเขาพระแทว,ถนนโยธาธิการ ภก. 2014 (บ้านแขนน-บ้านนาใน)
75,PHUKET-SAPAN SARASIN HIGHWAY PROJECT SITE,สำนักงานควบคุมโครงการก่อสร้างทางสายภูเก็ต-สะพานสารสินสำนักก่อสร้างทางที่ 5,ทางหลวงแผ่นดินหมายเลข 402
